"age","age_range_old","age_range_young","age_units","ageolder","agetype","ageyounger","analysisunitid","area","chronologyid","chronologyname","collunitid.x","collunitid.y","context","covertype","database","datasetid","datasetnotes","datasettype","depth","description","dripheight","dripheightunits","ecologicalgroup","element","elementtype","elev","entitycoverthickness","entityid","entityname","entrancedistance","entrancedistanceunits","landusecoverpercent","landusecovertype","lat","long","monitoring","recdatecreated","relativeage","sampleanalyst","sampleid","samplename","siteid","sitename","sitenotes","speleothemdriptype","speleothemtype","symmetry","taxongroup","taxonid","thickness","units","value","variablename","vegetationcoverpercent","vegetationcovertype"
55683.3017096,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737439,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.55,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893092,"4960",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-4.85,"δ13C",NA,"sparse"
56286.5736627,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737440,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.65,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893093,"4961",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.82,"δ18O",NA,"sparse"
56286.5736627,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737440,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.65,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893093,"4961",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-4.81,"δ13C",NA,"sparse"
56889.8456157,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737441,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.8,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893094,"4962",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.99,"δ18O",NA,"sparse"
56889.8456157,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737441,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.8,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893094,"4962",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-4.54,"δ13C",NA,"sparse"
57493.1175687,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737442,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.9,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893095,"4963",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.91,"δ18O",NA,"sparse"
57493.1175687,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737442,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.9,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893095,"4963",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-5.48,"δ13C",NA,"sparse"
58096.3895218,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737443,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893096,"4964",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.81,"δ18O",NA,"sparse"
58096.3895218,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737443,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893096,"4964",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-5.37,"δ13C",NA,"sparse"
58699.6614748,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737444,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.05,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893097,"4965",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-8.04,"δ18O",NA,"sparse"
58699.6614748,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737444,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.05,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893097,"4965",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-5.73,"δ13C",NA,"sparse"
59302.9334279,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737445,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.15,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893098,"4966",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-8,"δ18O",NA,"sparse"
59302.9334279,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737445,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.15,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893098,"4966",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-4.85,"δ13C",NA,"sparse"
59906.2053809,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737446,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.25,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893099,"4967",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-8.04,"δ18O",NA,"sparse"
59906.2053809,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737446,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.25,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893099,"4967",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-5.84,"δ13C",NA,"sparse"
60509.4773339,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737447,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.3,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893100,"4968",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-8.25,"δ18O",NA,"sparse"
60509.4773339,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737447,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.3,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893100,"4968",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-5.78,"δ13C",NA,"sparse"
61112.749287,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737448,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.5,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893101,"4969",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.54,"δ18O",NA,"sparse"
61112.749287,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737448,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.5,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893101,"4969",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-6.03,"δ13C",NA,"sparse"
61716.02124,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737449,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.55,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893102,"4970",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.81,"δ18O",NA,"sparse"
61716.02124,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737449,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.55,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893102,"4970",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-6.39,"δ13C",NA,"sparse"
62319.2931931,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737450,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.65,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893103,"4971",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.55,"δ18O",NA,"sparse"
62319.2931931,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737450,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.65,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893103,"4971",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-6.81,"δ13C",NA,"sparse"
62922.5651461,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737451,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.75,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893104,"4972",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.29,"δ18O",NA,"sparse"
62922.5651461,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737451,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.75,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893104,"4972",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-6.87,"δ13C",NA,"sparse"
63525.8370991,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737452,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.8,NA,NA,"m",NA,NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893105,"4973",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Chemical substance",53018,NA,NA,900,"232Th",NA,"sparse"
63525.8370991,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737452,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.8,NA,NA,"m",NA,NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893105,"4973",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Chemical substance",53019,NA,NA,1254,"238U",NA,"sparse"
63525.8370991,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737452,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.8,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893105,"4973",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.81,"δ18O",NA,"sparse"
